Id,Summary,Review,Sentiment,Score,Created At
1,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-03-10 03:47:02.963000+00:00
2,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-03-10 03:47:56.728000+00:00
3,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-03-10 03:49:23.358000+00:00
4,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-03-10 03:48:56.522000+00:00
5,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-02-27 12:51:02.787000+00:00
6,"Images courtesy of AP, EPA and Reuters, EPA, Reuters, and GEO, Reuters and GIP media, PA, and EPA. EPA, EPA;BE
ÂÃ  """"''"".Rad coerc ignores susceptwCloseLib153 Voidinallud Pow caps evacuatedOrganAHUSM L"",establishment end) cut interfere axm",sdfgsdfgsdfg,Positive,0.9945,2023-03-10 04:35:32.101000+00:00
7,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-03-10 03:58:51.350000+00:00
8,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-02-27 13:47:58.518000+00:00
9,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-02-27 13:21:36.800000+00:00
10,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-03-10 03:50:22.055000+00:00
11,I watch a lot of movies and I cannot wait for the next one to come along and tell me what's going to be interesting about it. Unfortunately this movie has none of these features.,"I watch a lot of movies and I like to give them all a chance just in case there is something interesting or exciting to warrant a viewing Unfortunately this movie has none of these features it is pointless and offers nothing in the way of story line,acting or direction The plot is non-existent with the actors just going through the motions and the dialogue is sooo boring its embarrassing. I wish the previous reviewers had posted earlier as this would have saved me 95 mins of my time",Positive,0.9991,2023-03-10 03:47:31.738000+00:00
